y,x,landform,count,isopen,note
0,0,0,45000,1,草地
0,1,0,120,1,洞穴
0,2,1,3,0,石头
0,3,9,12,0,菌蒲
0,4,0,120,1,草地
0,5,2,5000,0,洞穴
0,6,0,3,0,石头
0,7,0,233,1,菌蒲
0,8,0,15,0,草地
1,0,2,15,0,洞穴
1,1,0,15,0,石头
1,2,0,15,1,菌蒲
1,3,3,15,0,草地
1,4,7,15,0,洞穴
1,5,0,15,0,石头
1,6,4,15,1,菌蒲
1,7,0,15,0,草地
1,8,0,15,0,洞穴
2,0,6,15,0,石头
2,1,9,15,1,草地
2,2,0,15,0,洞穴
2,3,9,15,0,石头
2,4,5,15,0,菌蒲
2,5,0,15,0,草地
2,6,0,15,0,洞穴
2,7,9,15,1,石头
2,8,0,15,0,菌蒲
3,0,0,15,0,草地
3,1,3,15,0,洞穴
3,2,0,15,1,石头
3,3,0,15,0,菌蒲
3,4,3,15,0,草地
3,5,0,15,0,洞穴
3,6,0,15,0,石头
3,7,0,15,0,菌蒲
3,8,5,15,1,草地
4,0,2,15,0,洞穴
4,1,0,15,0,石头
4,2,0,15,0,草地
4,3,5,15,0,洞穴
4,4,0,15,1,石头
4,5,5,15,0,菌蒲
4,6,0,15,0,草地
4,7,3,15,0,洞穴
4,8,0,15,0,石头
5,0,5,15,0,菌蒲
5,1,2,15,1,草地
5,2,0,15,0,洞穴
5,3,2,15,0,石头
5,4,3,15,0,菌蒲
5,5,0,15,0,草地
5,6,1,15,0,洞穴
5,7,0,15,1,石头
5,8,5,15,0,菌蒲
6,0,0,15,1,草地
6,1,2,15,0,洞穴
6,2,0,15,0,石头
6,3,1,15,0,草地
6,4,0,15,0,洞穴
6,5,1,15,1,石头
6,6,5,15,1,菌蒲
6,7,0,15,0,草地
6,8,3,15,0,洞穴
