id,name,iconurl,isbuild,type,note,description
t1000,key,f32_32,f,0,锁,需要钥匙才能打开，未知
t1001,food,f34_34,f,0,普通虫食,中级以下虫类食用
t1002,aphid,f35_35,f,0,蚜虫,可供牧养的昆虫，为它提供保护，蚜虫则负责产出蜜露一样的高级食物
t1003,water,slice10_10,f,0,水,不能通过和建造，但一些特殊任务需要水源
t1004,stone,slice28_28,f,0,石头,障碍物，但可以探索，或许有发现
t1005,clearing,slice29_29,t,0,小块空地,可以建造
t1006,tree,slice63_63,f,0,树,可以提供树叶，树叶可以种植菌蒲，不能建造
t1007,cave ,slice93_93,f,0,洞穴,未知的探索
t1008,egg,slice53_53,f,0,虫卵,可以孵化特殊虫类
t1009,mushroom,slice53_53,f,0,食用菌,可以种植，需要树叶
t1010,antibiotic,slice53_53,f,0,抗生素菌类,可以种植，随身携带，防止虫群疾病暴发
t1011,zymad,slice53_53,f,0,致病菌,对虫群是极大的威胁
t1012,nuclear,slice53_53,t,0,核辐射,不看靠近，但是核虫生长的必要条件
t1013,gene ,slice53_53,f,0,基因片段,可以升级对应虫类
t1014,enemy,slice53_53,f,0,敌虫,需要消灭的对象
